item,count,rank
37733,27,935
741,27,936
94864,27,937
1293,27,938
4343,27,939
1347,27,940
80549,27,941
88744,27,942
122900,27,943
720,27,944
3252,27,945
1179,27,946
57368,27,947
1021,27,948
166528,27,949
1257,27,950
4700,27,951
6787,27,952
3072,27,953
3254,27,954
102445,27,955
2431,27,956
3968,27,957
880,27,958
6503,27,959
2109,27,960
5872,27,961
1120,27,962
122892,27,963
40629,27,964
1499,27,965
1982,27,966
922,27,967
3424,27,968
4002,27,969
4901,27,970
2232,27,971
52281,27,972
5013,27,973
909,27,974
8873,27,975
122918,27,976
1614,26,977
6957,26,978
1591,26,979
2409,26,980
5945,26,981
2795,26,982
148626,26,983
106487,26,984
4388,26,985
3148,26,986
89492,26,987
53519,26,988
2478,26,989
93510,26,990
5574,26,991
3869,26,992
68319,26,993
112183,26,994
3638,26,995
2082,26,996
3556,26,997
1960,26,998
3969,26,999
1476,26,1000
916,26,1001
1235,26,1002
3476,26,1003
164179,26,1004
3264,26,1005
2359,26,1006
413,26,1007
8783,26,1008
2616,26,1009
2826,26,1010
4128,26,1011
107,26,1012
46530,25,1013
1343,25,1014
1378,25,1015
8983,25,1016
86882,25,1017
3005,25,1018
2872,25,1019
1590,25,1020
2986,25,1021
2598,25,1022
4823,25,1023
2366,25,1024
51935,25,1025
54997,25,1026
3798,25,1027
2020,25,1028
168252,25,1029
3608,25,1030
3534,25,1031
475,25,1032
2186,25,1033
3462,25,1034
3438,25,1035
1086,25,1036
1253,25,1037
2352,25,1038
1025,25,1039
1801,25,1040
106489,25,1041
1680,25,1042
106920,25,1043
374,25,1044
5617,25,1045
27706,25,1046
53953,25,1047
6953,25,1048
67255,25,1049
2394,25,1050
56775,24,1051
2046,24,1052
5507,24,1053
7173,24,1054
2369,24,1055
3098,24,1056
6350,24,1057
1449,24,1058
1945,24,1059
2471,24,1060
1438,24,1061
2993,24,1062
3704,24,1063
7454,24,1064
66934,24,1065
2108,24,1066
86880,24,1067
87869,24,1068
3979,24,1069
1711,24,1070
2371,24,1071
2410,24,1072
5103,24,1073
3087,24,1074
2528,24,1075
1883,24,1076
2687,24,1077
81847,24,1078
4489,24,1079
5110,24,1080
6593,24,1081
49286,24,1082
3037,24,1083
1357,24,1084
307,24,1085
1037,24,1086
1385,24,1087
230,24,1088
926,24,1089
215,24,1090
1125,24,1091
515,24,1092
1212,24,1093
531,24,1094
1031,24,1095
45672,23,1096
101,23,1097
116823,23,1098
8371,23,1099
1321,23,1100
46972,23,1101
4161,23,1102
2496,23,1103
2428,23,1104
4235,23,1105
2336,23,1106
3827,23,1107
37741,23,1108
1409,23,1109
105,23,1110
44022,23,1111
1962,23,1112
1186,23,1113
117529,23,1114
1779,23,1115
3107,23,1116
4023,23,1117
7323,23,1118
562,23,1119
799,23,1120
7099,23,1121
2805,23,1122
1256,23,1123
2991,23,1124
81932,23,1125
1792,23,1126
2052,23,1127
866,23,1128
933,23,1129
1298,23,1130
2840,23,1131
5449,22,1132
4069,22,1133
63992,22,1134
1586,22,1135
276,22,1136
1350,22,1137
3360,22,1138
203,22,1139
93840,22,1140
3317,22,1141
2378,22,1142
2600,22,1143
468,22,1144
91630,22,1145
4105,22,1146
3100,22,1147
1231,22,1148
3104,22,1149
3105,22,1150
2642,22,1151
80489,22,1152
102903,22,1153
122922,22,1154
60072,22,1155
122920,22,1156
1952,22,1157
1958,22,1158
3263,22,1159
103042,22,1160
5954,22,1161
748,22,1162
2707,22,1163
27904,22,1164
2391,22,1165
6773,22,1166
6323,22,1167
2245,22,1168
5171,22,1169
3504,22,1170
227,22,1171
5283,22,1172
5313,22,1173
54995,22,1174
1188,22,1175
237,22,1176
2096,22,1177
2134,22,1178
97913,22,1179
106072,21,1180
372,21,1181
2067,21,1182
88810,21,1183
2139,21,1184
1175,21,1185
41997,21,1186
79592,21,1187
86833,21,1188
1091,21,1189
53000,21,1190
707,21,1191
62434,21,1192
6979,21,1193
2720,21,1194
371,21,1195
3070,21,1196
7325,21,1197
2125,21,1198
105504,21,1199
3697,21,1200
262,21,1201
2989,21,1202
546,21,1203
87306,21,1204
2137,21,1205
383,21,1206
3536,21,1207
2405,21,1208
8910,21,1209
53121,21,1210
107406,21,1211
3354,21,1212
2010,21,1213
2013,21,1214
37386,21,1215
72378,21,1216
84954,21,1217
34437,21,1218
379,21,1219
3984,21,1220
2375,21,1221
2376,21,1222
519,21,1223
104211,21,1224
55269,21,1225
830,21,1226
7444,21,1227
247,21,1228
1965,21,1229
5225,21,1230
3298,21,1231
95441,21,1232
4247,21,1233
207,21,1234
1049,21,1235
81564,20,1236
1297,20,1237
2053,20,1238
6873,20,1239
88405,20,1240
4007,20,1241
4623,20,1242
4980,20,1243
930,20,1244
2133,20,1245
1688,20,1246
69,20,1247
2990,20,1248
1429,20,1249
4958,20,1250
1292,20,1251
3986,20,1252
81229,20,1253
8969,20,1254
319,20,1255
102407,20,1256
5881,20,1257
4865,20,1258
1104,20,1259
1245,20,1260
1616,20,1261
27660,20,1262
4545,20,1263
6297,20,1264
419,20,1265
31410,20,1266
122916,20,1267
7346,20,1268
4855,20,1269
2340,20,1270
55290,20,1271
106918,20,1272
39292,20,1273
63131,20,1274
1588,20,1275
1015,20,1276
6283,20,1277
308,20,1278
48738,20,1279
7387,20,1280
737,20,1281
4448,20,1282
49278,20,1283
53464,20,1284
3910,20,1285
101864,20,1286
18,20,1287
69526,20,1288
96821,20,1289
1033,20,1290
96588,20,1291
7371,20,1292
6888,20,1293
56949,20,1294
36401,20,1295
175,20,1296
2253,20,1297
2792,19,1298
2009,19,1299
97752,19,1300
4873,19,1301
1224,19,1302
103335,19,1303
6156,19,1304
2402,19,1305
103249,19,1306
6383,19,1307
5943,19,1308
5944,19,1309
4366,19,1310
55118,19,1311
2686,19,1312
5957,19,1313
1100,19,1314
89864,19,1315
2567,19,1316
4084,19,1317
3683,19,1318
2083,19,1319
2863,19,1320
3893,19,1321
3744,19,1322
481,19,1323
800,19,1324
12,19,1325
5308,19,1326
1441,19,1327
1381,19,1328
27611,19,1329
31878,19,1330
1283,19,1331
5782,19,1332
3593,19,1333
32031,19,1334
112138,19,1335
1556,19,1336
1693,19,1337
761,19,1338
3157,19,1339
142488,19,1340
2881,19,1341
8958,19,1342
48304,19,1343
765,19,1344
82461,19,1345
338,19,1346
3861,19,1347
5528,19,1348
3328,19,1349
27831,19,1350
3083,19,1351
249,18,1352
3479,18,1353
58025,18,1354
14,18,1355
1237,18,1356
138036,18,1357
2413,18,1358
72226,18,1359
3468,18,1360
57640,18,1361
954,18,1362
115569,18,1363
3173,18,1364
2467,18,1365
533,18,1366
94777,18,1367
56171,18,1368
91535,18,1369
1359,18,1370
3452,18,1371
2505,18,1372
5152,18,1373
5151,18,1374
90866,18,1375
2527,18,1376
2530,18,1377
1920,18,1378
955,18,1379
3267,18,1380
1687,18,1381
3508,18,1382
5291,18,1383
5463,18,1384
8865,18,1385
1209,18,1386
103341,18,1387
3635,18,1388
2110,18,1389
3639,18,1390
63859,18,1391
68791,18,1392
516,18,1393
6796,18,1394
118696,18,1395
194,18,1396
2088,18,1397
6565,18,1398
83134,18,1399
2841,18,1400
128360,18,1401
2338,18,1402
2141,18,1403
4639,18,1404
47997,18,1405
4728,18,1406
108190,18,1407
6620,18,1408
428,18,1409
514,18,1410
4621,18,1411
928,18,1412
34072,18,1413
58803,18,1414
2973,18,1415
176371,18,1416
5015,18,1417
540,18,1418
81562,18,1419
4238,17,1420
7160,17,1421
7163,17,1422
94677,17,1423
33162,17,1424
3435,17,1425
111781,17,1426
2072,17,1427
234,17,1428
239,17,1429
68554,17,1430
3646,17,1431
3633,17,1432
112290,17,1433
67087,17,1434
1464,17,1435
6879,17,1436
1171,17,1437
1388,17,1438
2313,17,1439
33660,17,1440
6764,17,1441
79,17,1442
3730,17,1443
3735,17,1444
117176,17,1445
55276,17,1446
71264,17,1447
5400,17,1448
5419,17,1449
2311,17,1450
248,17,1451
267,17,1452
1019,17,1453
26662,17,1454
78469,17,1455
136020,17,1456
106100,17,1457
40278,17,1458
61240,17,1459
5785,17,1460
58293,17,1461
7004,17,1462
79695,17,1463
1303,17,1464
1248,17,1465
1635,17,1466
3020,17,1467
4881,17,1468
1835,17,1469
491,17,1470
8810,17,1471
1296,17,1472
87222,17,1473
162,17,1474
6548,17,1475
6618,17,1476
6059,17,1477
5014,17,1478
52245,17,1479
361,17,1480
8914,17,1481
351,17,1482
6564,17,1483
4992,17,1484
2398,17,1485
3271,17,1486
2412,17,1487
41285,17,1488
84944,17,1489
56152,17,1490
181,17,1491
50068,17,1492
7149,17,1493
3146,17,1494
8228,17,1495
2808,17,1496
477,17,1497
836,17,1498
4054,16,1499
69406,16,1500
140,16,1501
3972,16,1502
4039,16,1503
2819,16,1504
5791,16,1505
2735,16,1506
2942,16,1507
575,16,1508
4351,16,1509
134368,16,1510
2146,16,1511
2114,16,1512
2643,16,1513
7360,16,1514
2301,16,1515
73321,16,1516
2387,16,1517
88,16,1518
3821,16,1519
3763,16,1520
2318,16,1521
136864,16,1522
3178,16,1523
2450,16,1524
532,16,1525
122926,16,1526
3089,16,1527
8981,16,1528
42738,16,1529
60950,16,1530
40583,16,1531
5690,16,1532
222,16,1533
36519,16,1534
415,16,1535
122,16,1536
4327,16,1537
60126,16,1538
69951,16,1539
2416,16,1540
3791,16,1541
103772,16,1542
4499,16,1543
103141,16,1544
1719,16,1545
1702,16,1546
104879,16,1547
1227,16,1548
1892,16,1549
1894,16,1550
114180,16,1551
23,16,1552
1348,16,1553
1665,16,1554
1589,16,1555
105844,16,1556
106002,16,1557
6659,16,1558
1243,16,1559
106916,16,1560
314,16,1561
1254,16,1562
1974,16,1563
111659,16,1564
382,16,1565
103253,16,1566
6586,16,1567
1411,16,1568
306,16,1569
1753,16,1570
1431,16,1571
9,16,1572
502,15,1573
3060,15,1574
1260,15,1575
1895,15,1576
135569,15,1577
2794,15,1578
135887,15,1579
76,15,1580
2606,15,1581
158238,15,1582
3113,15,1583
84772,15,1584
147,15,1585
3156,15,1586
79293,15,1587
1281,15,1588
1103,15,1589
3917,15,1590
3978,15,1591
412,15,1592
1845,15,1593
1095,15,1594
2702,15,1595
86911,15,1596
2688,15,1597
1057,15,1598
714,15,1599
104374,15,1600
1754,15,1601
86,15,1602
5025,15,1603
8638,15,1604
839,15,1605
5992,15,1606
59900,15,1607
3159,15,1608
1327,15,1609
41,15,1610
2118,15,1611
2059,15,1612
2468,15,1613
1515,15,1614
7347,15,1615
2447,15,1616
52975,15,1617
3507,15,1618
3526,15,1619
97306,15,1620
1217,15,1621
1488,15,1622
7317,15,1623
168250,15,1624
1959,15,1625
3591,15,1626
112175,15,1627
1030,15,1628
112623,15,1629
3668,15,1630
67734,15,1631
3686,15,1632
2116,15,1633
535,15,1634
5541,15,1635
2533,15,1636
3258,15,1637
3246,15,1638
3243,15,1639
3836,15,1640
2004,15,1641
46,15,1642
3355,15,1643
76077,15,1644
114662,15,1645
2126,15,1646
2123,15,1647
3398,15,1648
20,15,1649
6003,15,1650
102123,14,1651
4041,14,1652
951,14,1653
58047,14,1654
2367,14,1655
8861,14,1656
5878,14,1657
56145,14,1658
281,14,1659
4144,14,1660
4974,14,1661
52328,14,1662
1955,14,1663
1251,14,1664
90405,14,1665
2422,14,1666
103228,14,1667
905,14,1668
4887,14,1669
2463,14,1670
122924,14,1671
8366,14,1672
4378,14,1673
2995,14,1674
4017,14,1675
1619,14,1676
4558,14,1677
3248,14,1678
47200,14,1679
49651,14,1680
1344,14,1681
6709,14,1682
47518,14,1683
71530,14,1684
3440,14,1685
3441,14,1686
534,14,1687
65230,14,1688
6755,14,1689
71057,14,1690
111360,14,1691
609,14,1692
218,14,1693
3543,14,1694
542,14,1695
69644,14,1696
3615,14,1697
48043,14,1698
232,14,1699
3198,14,1700
5066,14,1701
84374,14,1702
46965,14,1703
2857,14,1704
1769,14,1705
3999,14,1706
2901,14,1707
51412,14,1708
2912,14,1709
3980,14,1710
6595,14,1711
152077,14,1712
2950,14,1713
1284,14,1714
159,14,1715
2966,14,1716
51086,14,1717
164,14,1718
8985,14,1719
60397,14,1720
135143,14,1721
5026,14,1722
492,14,1723
3016,14,1724
26776,14,1725
257,14,1726
45666,14,1727
100,14,1728
6440,14,1729
6296,14,1730
2060,14,1731
53894,14,1732
7367,14,1733
2117,14,1734
98961,14,1735
81,14,1736
96737,14,1737
290,14,1738
99007,14,1739
6385,14,1740
2136,14,1741
2297,14,1742
45431,14,1743
7439,14,1744
3316,13,1745
26,13,1746
157296,13,1747
58295,13,1748
4254,13,1749
3307,13,1750
140110,13,1751
4679,13,1752
8640,13,1753
177765,13,1754
7265,13,1755
2143,13,1756
2664,13,1757
62999,13,1758
3219,13,1759
45880,13,1760
1603,13,1761
1537,13,1762
6944,13,1763
15,13,1764
2065,13,1765
37384,13,1766
56587,13,1767
2454,13,1768
3483,13,1769
2459,13,1770
986,13,1771
45728,13,1772
3477,13,1773
1124,13,1774
2474,13,1775
3461,13,1776
1518,13,1777
47629,13,1778
3439,13,1779
3213,13,1780
4677,13,1781
62849,13,1782
911,13,1783
1064,13,1784
3852,13,1785
4040,13,1786
2779,13,1787
4467,13,1788
4033,13,1789
2802,13,1790
2803,13,1791
3044,13,1792
1301,13,1793
4020,13,1794
8907,13,1795
3030,13,1796
1799,13,1797
4008,13,1798
174055,13,1799
417,13,1800
55052,13,1801
1726,13,1802
3981,13,1803
53993,13,1804
6331,13,1805
1833,13,1806
6993,13,1807
39446,13,1808
115210,13,1809
76175,13,1810
6550,13,1811
43928,13,1812
1620,13,1813
77455,13,1814
59022,13,1815
5072,13,1816
2719,13,1817
5065,13,1818
892,13,1819
507,13,1820
2728,13,1821
280,13,1822
78105,13,1823
45950,13,1824
4967,13,1825
176,13,1826
111364,13,1827
7482,13,1828
33836,13,1829
996,13,1830
2334,13,1831
1023,13,1832
7318,13,1833
36517,13,1834
4214,13,1835
6857,13,1836
3699,13,1837
3551,13,1838
2090,13,1839
73,13,1840
1211,13,1841
3701,13,1842
1957,13,1843
1135,13,1844
2325,13,1845
143355,13,1846
3654,13,1847
122912,13,1848
7156,13,1849
4029,12,1850
5267,12,1851
5505,12,1852
3812,12,1853
2596,12,1854
144,12,1855
188,12,1856
663,12,1857
41571,12,1858
6867,12,1859
233,12,1860
1916,12,1861
44972,12,1862
59501,12,1863
89470,12,1864
179819,12,1865
2798,12,1866
2583,12,1867
1672,12,1868
4121,12,1869
30816,12,1870
49649,12,1871
3274,12,1872
2565,12,1873
85510,12,1874
54881,12,1875
445,12,1876
7569,12,1877
952,12,1878
1178,12,1879
52604,12,1880
1013,12,1881
1459,12,1882
2672,12,1883
1848,12,1884
70293,12,1885
70183,12,1886
45081,12,1887
3203,12,1888
98243,12,1889
2379,12,1890
3270,12,1891
2713,12,1892
427,12,1893
5577,12,1894
125,12,1895
1970,12,1896
900,12,1897
1457,12,1898
8781,12,1899
6552,12,1900
2662,12,1901
3564,12,1902
3088,12,1903
4876,12,1904
7162,12,1905
3260,12,1906
934,12,1907
538,12,1908
2360,12,1909
366,12,1910
1885,12,1911
2739,12,1912
1991,12,1913
3618,12,1914
405,12,1915
2731,12,1916
